# frame  time_ps  oxide_zmin_A  oxide_zmax_A  oxide_thickness_A  oxide_top_roughness_A  penetration_max_A  penetration_mean_pos_A  penetration_fraction_gt_2.00A  llzo_center_z_A  metal_center_z_A  center_sep_z_A  Li_metal-La  Li_metal-Zr  Li_metal-O  RMSD_framework_all_A  RMSD_Li_metal_A  RMSD_Li_oxide_A  RMSD_La_A  RMSD_Zr_A  RMSD_O_A  MSD_framework_all_A2  MSD_Li_metal_A2  MSD_Li_oxide_A2  MSD_La_A2  MSD_Zr_A2  MSD_O_A2  CN_Li_metal-O  CN_Li_metal-Li_oxide  CN_Li_oxide-O
330.00000000 16.50000000 72.96383919 155.87911923 82.91528004 3.73562581 1.08709807 1.08709807 0.00000000 53.86890604 132.09167149 78.22276545 2.91330563 2.89884303 1.80661310 0.21791529 0.94293496 0.56491449 0.27458944 0.16714238 0.20920665 0.04748708 0.88912634 0.31912838 0.07539936 0.02793657 0.04376742 0.01492537 0.11940299 1.76882662
340.00000000 17.00000000 72.92225395 155.92070447 82.99845052 3.77834727 1.06625058 1.06625058 0.00000000 53.83894304 132.09468674 78.25574370 3.05680907 3.09272404 1.83988122 0.23968791 0.91888118 0.60501936 0.29184165 0.19078438 0.23244050 0.05745030 0.84434262 0.36604842 0.08517155 0.03639868 0.05402859 0.01492537 0.11087420 1.78984238
350.00000000 17.50000000 73.05350989 155.78944853 82.73593863 3.75781610 0.98895697 0.98895697 0.00000000 53.83978150 132.10434603 78.26456453 3.04427920 2.97606863 1.85149670 0.22930832 0.96012933 0.60767447 0.29635619 0.17154757 0.21824319 0.05258231 0.92184833 0.36926826 0.08782699 0.02942857 0.04763009 0.01492537 0.11513859 1.78984238
360.00000000 18.00000000 73.01872868 155.82422974 82.80550107 3.73868907 1.01022977 1.01022977 0.00000000 53.85302670 132.09859426 78.24556756 3.09271973 2.88663266 1.83944877 0.23580721 1.00045452 0.60062304 0.28274647 0.19849672 0.22851825 0.05560504 1.00090925 0.36074803 0.07994557 0.03940095 0.05222059 0.01279318 0.11727079 1.77583187
370.00000000 18.50000000 72.99037507 155.85258335 82.86220827 3.75663066 0.95954064 0.95954064 0.00000000 53.85245913 132.11422797 78.26176884 2.96395867 3.07855184 1.88486248 0.27020788 1.02826215 0.61852764 0.32601115 0.23477370 0.26014770 0.07301230 1.05732305 0.38257645 0.10628327 0.05511869 0.06767682 0.01705757 0.11513859 1.76707531
380.00000000 19.00000000 73.04078306 155.80217536 82.76139231 3.74358607 0.97443435 0.97443435 0.00000000 53.84959037 132.14493446 78.29534409 3.04577779 2.78874089 1.83082984 0.26590507 1.00697927 0.62251086 0.32137860 0.22566359 0.25662763 0.07070551 1.01400725 0.38751978 0.10328421 0.05092405 0.06585774 0.01279318 0.12579957 1.78283713
390.00000000 19.50000000 72.99230114 155.85065728 82.85835614 3.75457264 0.87607672 0.87607672 0.00000000 53.84206327 132.07069143 78.22862816 2.98619218 2.87230803 1.83514635 0.20894048 0.96705887 0.61417016 0.25607543 0.15174885 0.20399649 0.04365613 0.93520286 0.37720499 0.06557463 0.02302771 0.04161457 0.01492537 0.12366738 1.79509632
400.00000000 20.00000000 72.98484546 155.85811296 82.87326751 3.74529656 1.25696103 1.25696103 0.00000000 53.82705263 132.14340464 78.31635201 3.05613338 2.95439008 1.80454814 0.20141905 0.95251430 0.57631032 0.25006805 0.14794159 0.19542864 0.04056963 0.90728350 0.33213359 0.06253403 0.02188671 0.03819235 0.01492537 0.10874200 1.78283713
410.00000000 20.50000000 73.02801400 155.81494442 82.78693043 3.74190859 0.83781175 0.83781175 0.00000000 53.84407583 132.11433286 78.27025704 3.03587239 2.92560143 1.83671302 0.18704688 0.92563345 0.57843447 0.22857578 0.13455796 0.18298879 0.03498654 0.85679728 0.33458644 0.05224689 0.01810584 0.03348490 0.01492537 0.12579957 1.78283713
420.00000000 21.00000000 73.07509772 155.76786070 82.69276297 3.73618452 0.86874618 0.86874618 0.00000000 53.82162661 132.10130297 78.27967637 3.10786157 2.84799840 1.78279645 0.19078058 1.01296446 0.60173908 0.26416837 0.13143357 0.17674099 0.03639723 1.02609700 0.36208992 0.06978493 0.01727478 0.03123738 0.01492537 0.12579957 1.78283713
