# z_A  Li  La  Zr  O  Li_metal_tracked
103.55143869 0.01444812 0.00727810 0.00252212 0.04399289 0.00000000
104.69565348 0.03541770 0.01378156 0.00000000 0.03547175 0.00000000
105.83986827 0.01650184 0.02042913 0.00000000 0.02920249 0.00000000
106.98408306 0.01999677 0.00185556 0.02520314 0.05736010 0.00000000
108.12829785 0.02869807 0.01212417 0.00369310 0.05390120 0.00000000
109.27251265 0.02887822 0.01498857 0.00000000 0.03291360 0.00000000
110.41672744 0.02147401 0.01178188 0.00000000 0.03646258 0.00000000
111.56094223 0.02241079 0.00444973 0.02480680 0.04999192 0.00000000
112.70515702 0.02141996 0.01390766 0.00408943 0.05800865 0.00000000
113.84937181 0.02916646 0.01455621 0.00000000 0.02891425 0.00000000
114.99358661 0.02599580 0.01432201 0.00000000 0.03523755 0.00000000
116.13780140 0.01733053 0.00055847 0.02813960 0.05152321 0.00000000
117.28201619 0.02871608 0.01444812 0.00075663 0.05770239 0.00000000
118.42623098 0.02446452 0.01432201 0.00000000 0.02891425 0.00000000
119.57044577 0.03747142 0.01405178 0.00000000 0.04094834 0.00000000
120.71466057 0.01052082 0.00052244 0.02873410 0.05474791 0.00000000
121.85887536 0.02758113 0.01397972 0.00016214 0.04880293 0.00000000
123.00309015 0.02341964 0.01470033 0.00000000 0.03006722 0.00000000
124.14730494 0.03240918 0.01394369 0.00000000 0.04359656 0.00000000
125.29151973 0.01367347 0.00072060 0.02140195 0.05002796 0.00000000
126.43573453 0.02322147 0.01435804 0.00749428 0.04710951 0.00000000
127.57994932 0.02630206 0.00538652 0.00000000 0.03145438 0.00000000
128.72416411 0.01963647 0.00915167 0.00000000 0.02799548 0.00000000
129.86837890 0.01812320 0.01444812 0.00010809 0.04912720 0.00000000
131.01259370 0.02102363 0.00000000 0.02878814 0.03597617 0.00000000
132.15680849 0.02156408 0.01444812 0.00000000 0.05566668 0.00000000
133.30102328 0.03671479 0.01446613 0.00000000 0.03267941 0.00000000
134.44523807 0.02496894 0.01443010 0.00000000 0.04482159 0.00000000
135.58945286 0.01109731 0.00000000 0.02889623 0.03592213 0.00000000
136.73366766 0.03181468 0.01444812 0.00000000 0.05681965 0.00000000
137.87788245 0.03242719 0.01444812 0.00000000 0.03639052 0.00000000
139.02209724 0.02801349 0.01444812 0.00000000 0.04435320 0.00000000
140.16631203 0.00902557 0.00000000 0.02889623 0.03574197 0.00000000
141.31052682 0.03051759 0.01444812 0.00000000 0.05826086 0.00000000
142.45474162 0.03172461 0.01444812 0.00000000 0.03491328 0.00000000
143.59895641 0.02693259 0.01444812 0.00000000 0.04415503 0.00000000
144.74317120 0.01071899 0.00000000 0.02889623 0.03538167 0.00000000
145.88738599 0.03109408 0.01444812 0.00000000 0.05925169 0.00000000
147.03160078 0.03174262 0.01444812 0.00000000 0.03446290 0.00000000
148.17581558 0.02783334 0.01444812 0.00000000 0.04498372 0.00000000
149.32003037 0.01208814 0.00000000 0.02889623 0.03266139 0.00000000
150.46424516 0.02835578 0.01448415 0.00000000 0.06155762 0.00000000
151.60845995 0.03221101 0.01443010 0.00000000 0.03028340 0.00000000
